BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
3445,Polygon,2206,2066,Bronx,2043500,3702,park-cemetery-etc-Bronx,BX99,45816.14272,2,1.833648,4,0.07408,7.41,High,93,2,Bronx,207,11,5,144,2,5289748.761,<Null>,<Null>,3-Jan,"Bronx, Year 1-3",Phase 1,BX07115_2028_1,2028,4450.400218,17709.6435,3.97933728
2851,Polygon,1852,1738,Brooklyn,3040900,4002,Bushwick North,BK77,5399.577116,4,1.885782,4,0.091237,9.12,High,311,4,Queens,405,32,7,564,6,54895956.61,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN05327_2032_2,2032,645.772147,18004.95672,27.88128414
2967,Polygon,1937,1812,Manhattan,1002400,3809,Lower East Side,MN28,8198.204122,1,-0.783939,2,0.082539,8.25,High,167,3,Brooklyn,301,33,8,179,9,17588773.06,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK01338_2035_3,2035,1997.990258,18278.18925,9.148287474
3312,Polygon,2129,1994,Brooklyn,3035200,4018,Seagate-Coney Island,BK21,33068.34244,3,1.998513,4,0.075242,7.52,High,238,3,Brooklyn,313,47,6,233,1,21070839.36,<Null>,<Null>,3-Jan,"Brooklyn, Year 1-3",Phase 1,BK13476_2027_1,2027,1713.47827,20659.49993,12.05705394
2577,Polygon,1679,1583,Brooklyn,3054300,4004,park-cemetery-etc-Brooklyn,BK99,40160.19466,3,-0.005729,3,0.047199,4.72,Low,169,3,Brooklyn,302,33,2,199,7,8879411.791,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK02332_2033_3,2033,1406.07495,22881.27764,16.27315645
2841,Polygon,1849,1735,Queens,4063800,4105,Rosedale,QN05,12148.75964,4,0.626929,4,0.039643,3.96,Low,388,4,Queens,413,31,11,628,3,14683636.01,<Null>,<Null>,3-Jan,"Queens, Year 1-3",Phase 1,QN133111_2029_1,2029,1353.809122,23569.88658,17.41005154
3257,Polygon,2091,1956,Queens,4022001,4106,Briarwood-Jamaica Hills,QN35,9596.398387,4,-3.690547,1,0.064509,6.45,High,339,4,Queens,409,29,2,556,4,24683180.76,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN09292_2030_2,2030,5727.939227,25665.94551,4.480834118
2709,Polygon,1763,1657,Brooklyn,3016400,4013,Bay Ridge,BK31,16797.23417,3,-2.785603,1,0.058785,5.88,Low,215,3,Brooklyn,310,47,8,194,2,9050718.058,<Null>,<Null>,3-Jan,"Brooklyn, Year 1-3",Phase 1,BK10478_2028_1,2028,4198.497276,27448.4863,6.537693012
1965,Polygon,1272,1193,Queens,4065400,4105,Rosedale,QN05,16379.76022,4,-2.07284,1,0.039643,3.96,Low,389,4,Queens,413,31,12,711,2,17856931.6,<Null>,<Null>,3-Jan,"Queens, Year 1-3",Phase 1,QN133112_2028_1,2028,2180.12015,27624.63203,12.67115119
3326,Polygon,2136,2001,Brooklyn,3119000,4008,Cypress Hills-City Line,BK83,6506.497028,3,3.803977,5,0.114084,11.41,High,188,3,Brooklyn,305,37,7,190,4,7587029.634,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK05377_2030_2,2030,1963.693289,28191.29238,14.35626049
